project_member_id,employee_id,project_id,project_name,role,pm_qualitative_feedback,peer_qualitative_feedback,start_date,end_date
PM0016,EMP036,PRJ_2020_04,데이터 웨어하우스 구축,디자이너,"기본 작업은 완수했으나, 품질 기준 미달 부분 존재. 추가 교육 권장.",항상 동료를 먼저 생각하고 함께 일하기 좋은 동료. 전문성도 뛰어남.,2020-10-11,2021-08-07
PM0017,EMP135,PRJ_2020_04,데이터 웨어하우스 구축,PM,전반적으로 만족스러운 기여. 일정 관리 능력 향상 시 더 큰 성과 기대.,프로젝트에 성실히 기여. 특별한 이슈 없음.,2020-10-11,2021-08-07
PM0018,EMP065,PRJ_2020_04,데이터 웨어하우스 구축,아키텍트,"기본 작업은 완수했으나, 일정 준수에 어려움. 멘토링 지원 필요.",업무는 처리하지만 주도적 참여 아쉬움. 소통 개선 필요.,2020-10-11,2021-08-07
PM0019,EMP026,PRJ_2020_04,데이터 웨어하우스 구축,PL,요구사항 변경를 창의적으로 해결. 팀의 롤모델.,프로젝트 진행 중 건설적인 의견 제시로 팀워크 향상에 기여. 팀 성과에 큰 기여.,2020-10-11,2021-08-07
PM0020,EMP195,PRJ_2020_05,고객 포털 개발,PL,"기본 작업은 완수했으나, 품질 기준 미달 부분 존재. 멘토링 지원 필요.",기술적으로 뛰어나며 후배들을 잘 가르침해줌. 팀의 기둥.,2020-08-05,2021-07-31
PM0021,EMP014,PRJ_2020_05,고객 포털 개발,개발자,일정 지연 리스크를 신속하게 해결. 프로젝트 성공의 핵심 기여자.,업무는 처리하지만 적극성 필요. 개선 여지 있음.,2020-08-05,2021-07-31
PM0022,EMP126,PRJ_2020_05,고객 포털 개발,개발자,맡은 역할을 성실히 수행. 주어진 작업 완수. 도전적 목표 설정 권장.,프로젝트에 성실히 기여. 특별한 이슈 없음.,2020-08-05,2021-07-31
PM0023,EMP073,PRJ_2020_05,고객 포털 개발,QA,맡은 역할을 성실히 수행. 주어진 작업 완수. 보다 주도적인 역할 기대.,프로젝트 진행 중 건설적인 의견 제시로 팀워크 향상에 기여. 함께 일하고 싶은 동료.,2020-08-05,2021-07-31
PM0024,EMP005,PRJ_2020_06,AI 추천 시스템,PL,적극적인 책임감으로 프로젝트에 기여. 향후 리더 역할 기대됨.,열정적으로 일하며 후배들을 잘 가르침해줌. 없어서는 안 될 동료.,2020-09-25,2021-07-22
PM0025,EMP043,PRJ_2020_06,AI 추천 시스템,개발자,전반적으로 만족스러운 기여. 기술 역량 강화 시 더 큰 성과 기대.,업무는 처리하지만 주도적 참여 아쉬움. 소통 개선 필요.,2020-09-25,2021-07-22
PM0026,EMP100,PRJ_2020_06,AI 추천 시스템,개발자,맡은 역할을 성실히 수행. 주어진 작업 완수. 도전적 목표 설정 권장.,책임감이 강하고 팀원들에게 지식을 공유해줌. 핵심 멤버.,2020-09-25,2021-07-22
PM0027,EMP049,PRJ_2020_07,모니터링 시스템,PL,복잡한 기술 이슈를 창의적으로 해결. 팀의 롤모델.,업무는 처리하지만 주도적 참여 아쉬움. 개선 여지 있음.,2020-08-28,2021-01-25
PM0028,EMP126,PRJ_2020_07,모니터링 시스템,개발자,복잡한 기술 이슈를 체계적으로 해결. 기술 리더 역할 수행.,프로젝트에 전문성 발휘. 원활한 협업.,2020-08-28,2021-01-25
PM0029,EMP008,PRJ_2020_07,모니터링 시스템,개발자,전반적으로 만족스러운 기여. 커뮤니케이션 개선 시 더 큰 성과 기대.,프로젝트에 성실히 기여. 원활한 협업.,2020-08-28,2021-01-25
PM0030,EMP104,PRJ_2020_07,모니터링 시스템,QA,"프로젝트 목표 126% 달성. 일정을 앞당겨 완수했으며, 기술적 완성도가 매우 높음.",프로젝트에 전문성 발휘. 안정적인 성과.,2020-08-28,2021-01-25
PM0031,EMP184,PRJ_2020_07,모니터링 시스템,기획자,큰 이슈 없이 업무 완수. 팀과의 협업 양호. 다음 프로젝트에서 리더십 발휘 필요.,프로젝트에 전문성 발휘. 특별한 이슈 없음.,2020-08-28,2021-01-25
PM0032,EMP114,PRJ_2020_07,모니터링 시스템,디자이너,요구사항 이해에서 어려움 노출. 개선 방안 논의 필요.,성실하며 업무를 수행. 커뮤니케이션 원활함.,2020-08-28,2021-01-25
PM0033,DIV002,PRJ_2020_08,API 게이트웨이 개발,PL,전반적으로 만족스러운 기여. 일정 관리 능력 향상 시 더 큰 성과 기대.,프로젝트에 성실히 기여. 특별한 이슈 없음.,2020-02-22,2021-02-16
PM0034,EMP002,PRJ_2020_08,API 게이트웨이 개발,개발자,맡은 역할을 성실히 수행. 안정적인 업무 처리. 도전적 목표 설정 권장.,업무는 처리하지만 적극성 필요. 소통 개선 필요.,2020-02-22,2021-02-16
PM0035,EMP058,PRJ_2020_08,API 게이트웨이 개발,개발자,"프로젝트 목표 107% 달성. 품질 기준을 초과하여 완수했으며, 이해관계자 만족도가 매우 높음.",기본적인 협업은 수행하나 커뮤니케이션이 부족. 개선 여지 있음.,2020-02-22,2021-02-16
PM0036,EMP192,PRJ_2020_08,API 게이트웨이 개발,QA,복잡한 기술 이슈를 신속하게 해결. 기술 리더 역할 수행.,프로젝트에 성실히 기여. 안정적인 성과.,2020-02-22,2021-02-16
PM0037,EMP166,PRJ_2020_09,인증 시스템 개선,PL,큰 이슈 없이 업무 완수. 팀과의 협업 양호. 다음 프로젝트에서 리더십 발휘 필요.,항상 동료를 먼저 생각하고 배울 점이 많은 동료. 문제 해결 능력 우수.,2020-07-08,2021-04-04
PM0038,EMP162,PRJ_2020_09,인증 시스템 개선,개발자,전반적으로 만족스러운 기여. 기술 역량 강화 시 더 큰 성과 기대.,기술적으로 뛰어나며 후배들을 잘 가르침해줌. 없어서는 안 될 동료.,2020-07-08,2021-04-04
PM0039,EMP141,PRJ_2020_09,인증 시스템 개선,개발자,요구사항 이해에서 어려움 노출. 개선 방안 논의 필요.,기본적인 협업은 수행하나 주도적 참여 아쉬움. 소통 개선 필요.,2020-07-08,2021-04-04
PM0040,EMP106,PRJ_2020_09,인증 시스템 개선,QA,맡은 역할을 성실히 수행. 기본 목표 달성. 도전적 목표 설정 권장.,책임감이 강하고 어려운 문제도 함께 고민해줌. 없어서는 안 될 동료.,2020-07-08,2021-04-04
PM0041,EMP048,PRJ_2020_09,인증 시스템 개선,기획자,큰 이슈 없이 업무 완수. 팀과의 협업 양호. 다음 프로젝트에서 더 큰 역할 기대.,팀 분위기를 밝게 만들고 배울 점이 많은 동료. 전문성도 뛰어남.,2020-07-08,2021-04-04
PM0042,EMP046,PRJ_2020_09,인증 시스템 개선,디자이너,탁월한 문제 해결 능력으로 프로젝트에 기여. 향후 리더 역할 기대됨.,협업에 긍정적. 믿고 맡길 수 있음.,2020-07-08,2021-04-04
PM0043,EMP056,PRJ_2020_09,인증 시스템 개선,PM,"프로젝트 목표 122% 달성. 예산 대비 효율적으로 완수했으며, 이해관계자 만족도가 매우 높음.",프로젝트 진행 중 빠른 피드백로 팀워크 향상에 기여. 팀 성과에 큰 기여.,2020-07-08,2021-04-04
PM0044,EMP017,PRJ_2020_09,인증 시스템 개선,아키텍트,전반적으로 만족스러운 기여. 커뮤니케이션 개선 시 더 큰 성과 기대.,적극적으로 참여. 함께 일하기 좋음.,2020-07-08,2021-04-04
PM0045,EMP064,PRJ_2020_09,인증 시스템 개선,PL,일정 지연 리스크를 창의적으로 해결. 기술 리더 역할 수행.,필요한 지원 제공. 믿고 맡길 수 있음.,2020-07-08,2021-04-04
PM0046,EMP102,PRJ_2020_10,고객 포털 개발,PL,큰 이슈 없이 업무 완수. 팀과의 협업 양호. 다음 프로젝트에서 리더십 발휘 필요.,적극적으로 참여. 믿고 맡길 수 있음.,2020-06-02,2021-04-28
PM0047,EMP027,PRJ_2020_10,고객 포털 개발,개발자,"기본 작업은 완수했으나, 커뮤니케이션 개선 필요. 역량 강화 계획 수립.",프로젝트 진행 중 빠른 피드백로 팀워크 향상에 기여. 팀 성과에 큰 기여.,2020-06-02,2021-04-28
PM0048,EMP070,PRJ_2020_10,고객 포털 개발,개발자,맡은 역할을 성실히 수행. 안정적인 업무 처리. 도전적 목표 설정 권장.,프로젝트에 성실히 기여. 특별한 이슈 없음.,2020-06-02,2021-04-28
PM0049,EMP106,PRJ_2020_10,고객 포털 개발,QA,"기본 작업은 완수했으나, 커뮤니케이션 개선 필요. 역량 강화 계획 수립.",항상 동료를 먼저 생각하고 배울 점이 많은 동료. 전문성도 뛰어남.,2020-06-02,2021-04-28
PM0050,EMP088,PRJ_2020_10,고객 포털 개발,기획자,전반적으로 만족스러운 기여. 일정 관리 능력 향상 시 더 큰 성과 기대.,기술적으로 뛰어나며 어려운 문제도 함께 고민해줌. 팀의 기둥.,2020-06-02,2021-04-28
PM0051,EMP162,PRJ_2020_11,모니터링 시스템,PL,요구사항 이해에서 어려움 노출. 개선 방안 논의 필요.,프로젝트 진행 중 적극적인 소통로 팀워크 향상에 기여. 신뢰도 높음.,2020-05-28,2020-09-25
PM0052,EMP128,PRJ_2020_11,모니터링 시스템,개발자,일정 지연 리스크를 창의적으로 해결. 팀의 롤모델.,적극적으로 참여. 동료로서 만족.,2020-05-28,2020-09-25
PM0053,TL006,PRJ_2020_11,모니터링 시스템,개발자,"프로젝트 목표 120% 달성. 예산 대비 효율적으로 완수했으며, 기술적 완성도가 매우 높음.",프로젝트에 성실히 기여. 원활한 협업.,2020-05-28,2020-09-25
PM0054,EMP113,PRJ_2020_11,모니터링 시스템,QA,적극적인 책임감으로 프로젝트에 기여. 향후 리더 역할 기대됨.,항상 동료를 먼저 생각하고 배울 점이 많은 동료. 문제 해결 능력 우수.,2020-05-28,2020-09-25
PM0055,EMP156,PRJ_2020_11,모니터링 시스템,기획자,큰 이슈 없이 업무 완수. 기술적 역량 발휘. 다음 프로젝트에서 더 큰 역할 기대.,책임감이 강하고 후배들을 잘 가르침해줌. 없어서는 안 될 동료.,2020-05-28,2020-09-25
PM0056,EMP120,PRJ_2020_11,모니터링 시스템,디자이너,탁월한 문제 해결 능력으로 프로젝트에 기여. 지속적 성장 예상됨.,프로젝트에 전문성 발휘. 특별한 이슈 없음.,2020-05-28,2020-09-25
PM0057,EMP001,PRJ_2020_11,모니터링 시스템,PM,맡은 역할을 성실히 수행. 안정적인 업무 처리. 보다 주도적인 역할 기대.,책임감 있게 업무를 수행. 팀워크 양호함.,2020-05-28,2020-09-25
PM0058,EMP119,PRJ_2020_12,레거시 시스템 개선,PL,요구사항 변경를 신속하게 해결. 기술 리더 역할 수행.,항상 동료를 먼저 생각하고 함께 일하기 좋은 동료. 문제 해결 능력 우수.,2020-01-21,2021-01-15
PM0059,EMP102,PRJ_2020_12,레거시 시스템 개선,개발자,"프로젝트 목표 130% 달성. 예산 대비 효율적으로 완수했으며, 이해관계자 만족도가 매우 높음.",프로젝트 진행 중 건설적인 의견 제시로 팀워크 향상에 기여. 함께 일하고 싶은 동료.,2020-01-21,2021-01-15
PM0060,EMP131,PRJ_2020_12,레거시 시스템 개선,개발자,전반적으로 만족스러운 기여. 일정 관리 능력 향상 시 더 큰 성과 기대.,기술적으로 뛰어나며 후배들을 잘 가르침해줌. 팀의 기둥.,2020-01-21,2021-01-15
PM0061,EMP125,PRJ_2020_12,레거시 시스템 개선,QA,일정 지연 리스크를 창의적으로 해결. 기술 리더 역할 수행.,필요한 지원 제공. 함께 일하기 좋음.,2020-01-21,2021-01-15
PM0062,EMP005,PRJ_2021_01,검색 엔진 최적화,PL,적극적인 책임감으로 프로젝트에 기여. 향후 리더 역할 기대됨.,기본적인 협업은 수행하나 커뮤니케이션이 부족. 더 적극적인 참여 기대.,2021-02-03,2021-12-30
PM0063,EMP024,PRJ_2021_01,검색 엔진 최적화,개발자,일정 지연 리스크를 신속하게 해결. 팀의 롤모델.,프로젝트에 성실히 기여. 원활한 협업.,2021-02-03,2021-12-30
PM0064,EMP006,PRJ_2021_01,검색 엔진 최적화,개발자,"프로젝트 목표 117% 달성. 예산 대비 효율적으로 완수했으며, 기술적 완성도가 매우 높음.",프로젝트 진행 중 빠른 피드백로 팀워크 향상에 기여. 팀 성과에 큰 기여.,2021-02-03,2021-12-30
PM0065,EMP104,PRJ_2021_01,검색 엔진 최적화,QA,일정 지연 리스크를 체계적으로 해결. 프로젝트 성공의 핵심 기여자.,필요한 지원 제공. 동료로서 만족.,2021-02-03,2021-12-30
PM0066,EMP051,PRJ_2021_01,검색 엔진 최적화,기획자,복잡한 기술 이슈를 체계적으로 해결. 프로젝트 성공의 핵심 기여자.,열정적으로 일하며 어려운 문제도 함께 고민해줌. 없어서는 안 될 동료.,2021-02-03,2021-12-30
PM0067,EMP111,PRJ_2021_01,검색 엔진 최적화,디자이너,뛰어난 커뮤니케이션으로 프로젝트에 기여. 향후 리더 역할 기대됨.,프로젝트 진행 중 적극적인 소통로 팀워크 향상에 기여. 팀 성과에 큰 기여.,2021-02-03,2021-12-30
PM0068,EMP008,PRJ_2021_02,보안 강화 프로젝트,PL,"프로젝트 목표 118% 달성. 일정을 앞당겨 완수했으며, 팀원들의 신뢰가 매우 높음.",필요한 지원 제공. 동료로서 만족.,2021-10-19,2022-09-14
PM0069,EMP051,PRJ_2021_02,보안 강화 프로젝트,개발자,"기본 작업은 완수했으나, 커뮤니케이션 개선 필요. 추가 교육 권장.",성실하며 업무를 수행. 맡은 일 잘 처리함.,2021-10-19,2022-09-14
PM0070,EMP007,PRJ_2021_02,보안 강화 프로젝트,개발자,"프로젝트 목표 111% 달성. 품질 기준을 초과하여 완수했으며, 팀원들의 신뢰가 매우 높음.",어려울 때 적극적으로 도와주며 신뢰할 수 있는 동료. 문제 해결 능력 우수.,2021-10-19,2022-09-14
PM0071,DIV003,PRJ_2021_02,보안 강화 프로젝트,QA,일정 지연 리스크를 신속하게 해결. 기술 리더 역할 수행.,열정적으로 일하며 후배들을 잘 가르침해줌. 핵심 멤버.,2021-10-19,2022-09-14
PM0072,EMP143,PRJ_2021_02,보안 강화 프로젝트,기획자,전반적으로 만족스러운 기여. 일정 관리 능력 향상 시 더 큰 성과 기대.,열정적으로 일하며 어려운 문제도 함께 고민해줌. 핵심 멤버.,2021-10-19,2022-09-14
PM0073,EMP138,PRJ_2021_03,HR 챗봇 개발,PL,뛰어난 커뮤니케이션으로 프로젝트에 기여. 향후 리더 역할 기대됨.,항상 동료를 먼저 생각하고 배울 점이 많은 동료. 커뮤니케이션이 탁월함.,2021-10-07,2022-09-02
PM0074,EMP010,PRJ_2021_03,HR 챗봇 개발,개발자,요구사항에 맞춰 업무 완수. 팀과의 협업 양호. 다음 프로젝트에서 전문성 심화 요구.,어려울 때 적극적으로 도와주며 신뢰할 수 있는 동료. 문제 해결 능력 우수.,2021-10-07,2022-09-02
PM0075,EMP124,PRJ_2021_03,HR 챗봇 개발,개발자,일정 지연 리스크를 신속하게 해결. 프로젝트 성공의 핵심 기여자.,협력적이고 업무를 수행. 팀워크 양호함.,2021-10-07,2022-09-02
PM0076,EMP012,PRJ_2021_03,HR 챗봇 개발,QA,요구사항 이해에서 어려움 노출. 개선 방안 논의 필요.,필요한 지원 제공. 함께 일하기 좋음.,2021-10-07,2022-09-02
PM0077,EMP111,PRJ_2021_03,HR 챗봇 개발,기획자,적극적인 책임감으로 프로젝트에 기여. 지속적 성장 예상됨.,적극적으로 참여. 동료로서 만족.,2021-10-07,2022-09-02
PM0078,EMP070,PRJ_2021_03,HR 챗봇 개발,디자이너,"기본 작업은 완수했으나, 커뮤니케이션 개선 필요. 역량 강화 계획 수립.",성실하며 업무를 수행. 커뮤니케이션 원활함.,2021-10-07,2022-09-02
PM0079,EMP031,PRJ_2021_03,HR 챗봇 개발,PM,"기본 작업은 완수했으나, 커뮤니케이션 개선 필요. 역량 강화 계획 수립.",어려울 때 적극적으로 도와주며 함께 일하기 좋은 동료. 문제 해결 능력 우수.,2021-10-07,2022-09-02
PM0080,EMP190,PRJ_2021_04,BI 대시보드 구축,PL,"기본 작업은 완수했으나, 품질 기준 미달 부분 존재. 역량 강화 계획 수립.",기본적인 협업은 수행하나 커뮤니케이션이 부족. 개선 여지 있음.,2021-09-04,2021-12-03
PM0081,EMP192,PRJ_2021_04,BI 대시보드 구축,개발자,"기본 작업은 완수했으나, 커뮤니케이션 개선 필요. 멘토링 지원 필요.",적극적으로 참여. 함께 일하기 좋음.,2021-09-04,2021-12-03
PM0082,EMP157,PRJ_2021_04,BI 대시보드 구축,개발자,일정 지연 리스크를 체계적으로 해결. 프로젝트 성공의 핵심 기여자.,업무는 처리하지만 커뮤니케이션이 부족. 소통 개선 필요.,2021-09-04,2021-12-03
PM0083,EMP137,PRJ_2021_04,BI 대시보드 구축,QA,일정 지연 리스크를 체계적으로 해결. 프로젝트 성공의 핵심 기여자.,프로젝트에 전문성 발휘. 특별한 이슈 없음.,2021-09-04,2021-12-03
PM0084,EMP013,PRJ_2021_04,BI 대시보드 구축,기획자,"프로젝트 목표 107% 달성. 일정을 앞당겨 완수했으며, 기술적 완성도가 매우 높음.",필요한 지원 제공. 함께 일하기 좋음.,2021-09-04,2021-12-03
PM0085,EMP160,PRJ_2021_04,BI 대시보드 구축,디자이너,맡은 역할을 성실히 수행. 기본 목표 달성. 보다 주도적인 역할 기대.,기본적인 협업은 수행하나 커뮤니케이션이 부족. 소통 개선 필요.,2021-09-04,2021-12-03
PM0086,EMP108,PRJ_2021_04,BI 대시보드 구축,PM,전반적으로 만족스러운 기여. 일정 관리 능력 향상 시 더 큰 성과 기대.,프로젝트 진행 중 건설적인 의견 제시로 팀워크 향상에 기여. 신뢰도 높음.,2021-09-04,2021-12-03
PM0087,EMP125,PRJ_2021_04,BI 대시보드 구축,아키텍트,전반적으로 만족스러운 기여. 커뮤니케이션 개선 시 더 큰 성과 기대.,프로젝트 진행 중 적극적인 소통로 팀워크 향상에 기여. 팀 성과에 큰 기여.,2021-09-04,2021-12-03
PM0088,EMP146,PRJ_2021_04,BI 대시보드 구축,PL,전반적으로 만족스러운 기여. 일정 관리 능력 향상 시 더 큰 성과 기대.,필요한 지원 제공. 함께 일하기 좋음.,2021-09-04,2021-12-03
PM0089,TL005,PRJ_2021_04,BI 대시보드 구축,개발자,요구사항 변경를 체계적으로 해결. 프로젝트 성공의 핵심 기여자.,프로젝트에 전문성 발휘. 안정적인 성과.,2021-09-04,2021-12-03
PM0090,EMP123,PRJ_2021_05,검색 엔진 최적화,PL,"프로젝트 목표 109% 달성. 일정을 앞당겨 완수했으며, 이해관계자 만족도가 매우 높음.",기본적인 협업은 수행하나 주도적 참여 아쉬움. 개선 여지 있음.,2021-03-09,2021-06-07
PM0091,EMP162,PRJ_2021_05,검색 엔진 최적화,개발자,맡은 역할을 성실히 수행. 기본 목표 달성. 역량 확장 필요.,항상 동료를 먼저 생각하고 함께 일하기 좋은 동료. 커뮤니케이션이 탁월함.,2021-03-09,2021-06-07
PM0092,EMP019,PRJ_2021_05,검색 엔진 최적화,개발자,탁월한 문제 해결 능력으로 프로젝트에 기여. 지속적 성장 예상됨.,프로젝트 진행 중 유연한 협업 태도로 팀워크 향상에 기여. 팀 성과에 큰 기여.,2021-03-09,2021-06-07
PM0093,EMP086,PRJ_2021_05,검색 엔진 최적화,QA,기술적 난이도 해결에서 어려움 노출. 개선 방안 논의 필요.,프로젝트 진행 중 유연한 협업 태도로 팀워크 향상에 기여. 함께 일하고 싶은 동료.,2021-03-09,2021-06-07
PM0094,EMP156,PRJ_2021_05,검색 엔진 최적화,기획자,"기본 작업은 완수했으나, 커뮤니케이션 개선 필요. 멘토링 지원 필요.",열정적으로 일하며 팀원들에게 지식을 공유해줌. 팀의 기둥.,2021-03-09,2021-06-07
PM0095,EMP014,PRJ_2021_05,검색 엔진 최적화,디자이너,큰 이슈 없이 업무 완수. 기술적 역량 발휘. 다음 프로젝트에서 더 큰 역할 기대.,프로젝트에 전문성 발휘. 안정적인 성과.,2021-03-09,2021-06-07
PM0096,TL004,PRJ_2021_05,검색 엔진 최적화,PM,"프로젝트 목표 107% 달성. 일정을 앞당겨 완수했으며, 팀원들의 신뢰가 매우 높음.",열정적으로 일하며 팀원들에게 지식을 공유해줌. 핵심 멤버.,2021-03-09,2021-06-07
PM0097,EMP046,PRJ_2021_05,검색 엔진 최적화,아키텍트,요구사항 이해에서 어려움 노출. 개선 방안 논의 필요.,프로젝트에 책임감 있게 참여. 특별한 이슈 없음.,2021-03-09,2021-06-07
PM0098,TL009,PRJ_2021_05,검색 엔진 최적화,PL,일정대로 업무 완수. 책임감 있는 태도. 다음 프로젝트에서 더 큰 역할 기대.,필요한 지원 제공. 믿고 맡길 수 있음.,2021-03-09,2021-06-07
PM0099,DIV002,PRJ_2021_05,검색 엔진 최적화,개발자,뛰어난 커뮤니케이션으로 프로젝트에 기여. 핵심 인재로 평가됨.,팀 분위기를 밝게 만들고 함께 일하기 좋은 동료. 문제 해결 능력 우수.,2021-03-09,2021-06-07
PM0100,EMP121,PRJ_2021_06,보안 강화 프로젝트,PL,맡은 역할을 성실히 수행. 안정적인 업무 처리. 역량 확장 필요.,협업에 긍정적. 동료로서 만족.,2021-04-15,2022-04-10
PM0101,EMP068,PRJ_2021_06,보안 강화 프로젝트,개발자,일정 지연 리스크를 체계적으로 해결. 팀의 롤모델.,프로젝트 진행 중 유연한 협업 태도로 팀워크 향상에 기여. 신뢰도 높음.,2021-04-15,2022-04-10
PM0102,DIV001,PRJ_2021_06,보안 강화 프로젝트,개발자,전반적으로 만족스러운 기여. 기술 역량 강화 시 더 큰 성과 기대.,프로젝트 진행 중 유연한 협업 태도로 팀워크 향상에 기여. 함께 일하고 싶은 동료.,2021-04-15,2022-04-10
PM0103,EMP075,PRJ_2021_07,모바일 앱 리뉴얼,PL,타 팀과의 협업에서 어려움 노출. 개선 방안 논의 필요.,협업에 긍정적. 믿고 맡길 수 있음.,2021-09-11,2022-09-06
PM0104,EMP150,PRJ_2021_07,모바일 앱 리뉴얼,개발자,맡은 역할을 성실히 수행. 주어진 작업 완수. 도전적 목표 설정 권장.,적극적으로 참여. 함께 일하기 좋음.,2021-09-11,2022-09-06
PM0105,EMP012,PRJ_2021_07,모바일 앱 리뉴얼,개발자,복잡한 기술 이슈를 신속하게 해결. 팀의 롤모델.,적극적으로 참여. 믿고 맡길 수 있음.,2021-09-11,2022-09-06
PM0106,EMP064,PRJ_2021_07,모바일 앱 리뉴얼,QA,"기본 작업은 완수했으나, 품질 기준 미달 부분 존재. 역량 강화 계획 수립.",책임감 있게 업무를 수행. 커뮤니케이션 원활함.,2021-09-11,2022-09-06
PM0107,EMP153,PRJ_2021_08,고객 포털 개발,PL,요구사항 이해에서 어려움 노출. 개선 방안 논의 필요.,맡은 역할은 하나 커뮤니케이션이 부족. 더 적극적인 참여 기대.,2021-10-16,2022-01-14
PM0108,EMP167,PRJ_2021_08,고객 포털 개발,개발자,요구사항 이해에서 어려움 노출. 개선 방안 논의 필요.,어려울 때 적극적으로 도와주며 배울 점이 많은 동료. 커뮤니케이션이 탁월함.,2021-10-16,2022-01-14
PM0109,EMP034,PRJ_2021_08,고객 포털 개발,개발자,맡은 역할을 성실히 수행. 안정적인 업무 처리. 보다 주도적인 역할 기대.,프로젝트 진행 중 빠른 피드백로 팀워크 향상에 기여. 함께 일하고 싶은 동료.,2021-10-16,2022-01-14
PM0110,EMP145,PRJ_2021_08,고객 포털 개발,QA,큰 이슈 없이 업무 완수. 기술적 역량 발휘. 다음 프로젝트에서 리더십 발휘 필요.,항상 동료를 먼저 생각하고 배울 점이 많은 동료. 문제 해결 능력 우수.,2021-10-16,2022-01-14
PM0111,EMP180,PRJ_2021_08,고객 포털 개발,기획자,"프로젝트 목표 106% 달성. 품질 기준을 초과하여 완수했으며, 이해관계자 만족도가 매우 높음.",열정적으로 일하며 어려운 문제도 함께 고민해줌. 없어서는 안 될 동료.,2021-10-16,2022-01-14
