onboarding_id,employee_id,program_name,scheduled_date,completion_status,satisfaction_score
ONB0031,EMP013,업무 시스템 사용법 교육,2022-03-16,미완료,4.4
ONB0032,EMP013,부서별 업무 소개,2022-03-15,완료,4.7
ONB0033,EMP013,멘토 배정 및 OJT,2022-03-20,미완료,4.5
ONB0034,EMP013,컴플라이언스 교육,2022-03-22,완료,3.9
ONB0035,EMP013,정보보안 교육,2022-03-23,완료,4.9
ONB0036,EMP017,회사 소개 및 비전 공유,2023-01-22,완료,4.9
ONB0037,EMP017,조직문화 및 핵심가치 교육,2023-01-25,완료,4.6
ONB0038,EMP017,업무 시스템 사용법 교육,2023-01-27,완료,3.8
ONB0039,EMP017,부서별 업무 소개,2023-01-29,완료,3.7
ONB0040,EMP017,멘토 배정 및 OJT,2023-02-02,완료,4.5
ONB0041,EMP017,컴플라이언스 교육,2023-02-02,미완료,4.4
ONB0042,EMP017,정보보안 교육,2023-02-05,완료,4.6
ONB0043,EMP021,회사 소개 및 비전 공유,2023-09-01,완료,4.3
ONB0044,EMP021,조직문화 및 핵심가치 교육,2023-09-05,완료,4.3
ONB0045,EMP021,업무 시스템 사용법 교육,2023-09-05,완료,4.4
ONB0046,EMP021,부서별 업무 소개,2023-09-10,완료,3.7
ONB0047,EMP021,멘토 배정 및 OJT,2023-09-09,완료,4.3
ONB0048,EMP021,컴플라이언스 교육,2023-09-11,완료,4.8
ONB0049,EMP021,정보보안 교육,2023-09-15,완료,3.9
ONB0050,EMP023,회사 소개 및 비전 공유,2022-02-28,완료,4.2
ONB0051,EMP023,조직문화 및 핵심가치 교육,2022-02-28,완료,3.7
ONB0052,EMP023,업무 시스템 사용법 교육,2022-03-04,완료,4.8
ONB0053,EMP023,부서별 업무 소개,2022-03-05,완료,3.6
ONB0054,EMP023,멘토 배정 및 OJT,2022-03-08,완료,4.8
ONB0055,EMP023,컴플라이언스 교육,2022-03-07,완료,4.7
ONB0056,EMP023,정보보안 교육,2022-03-11,완료,4.2
ONB0057,EMP024,회사 소개 및 비전 공유,2023-03-09,미완료,3.8
ONB0058,EMP024,조직문화 및 핵심가치 교육,2023-03-13,미완료,4.2
ONB0059,EMP024,업무 시스템 사용법 교육,2023-03-15,완료,4.1
ONB0060,EMP024,부서별 업무 소개,2023-03-15,완료,3.8
ONB0061,EMP024,멘토 배정 및 OJT,2023-03-20,완료,4.6
ONB0062,EMP024,컴플라이언스 교육,2023-03-21,완료,4.3
ONB0063,EMP024,정보보안 교육,2023-03-22,완료,4.6
ONB0064,EMP025,회사 소개 및 비전 공유,2023-12-26,완료,4.8
ONB0065,EMP025,조직문화 및 핵심가치 교육,2023-12-25,완료,4.8
ONB0066,EMP025,업무 시스템 사용법 교육,2023-12-28,완료,3.9
ONB0067,EMP025,부서별 업무 소개,2024-01-01,완료,4.0
ONB0068,EMP025,멘토 배정 및 OJT,2024-01-01,완료,4.7
ONB0069,EMP025,컴플라이언스 교육,2024-01-05,완료,3.7
ONB0070,EMP025,정보보안 교육,2024-01-04,완료,4.2
ONB0071,EMP030,회사 소개 및 비전 공유,2022-07-10,완료,4.8
ONB0072,EMP030,조직문화 및 핵심가치 교육,2022-07-11,완료,4.8
ONB0073,EMP030,업무 시스템 사용법 교육,2022-07-13,완료,4.5
ONB0074,EMP030,부서별 업무 소개,2022-07-15,완료,3.6
ONB0075,EMP030,멘토 배정 및 OJT,2022-07-16,완료,4.5
ONB0076,EMP030,컴플라이언스 교육,2022-07-18,완료,4.1
ONB0077,EMP030,정보보안 교육,2022-07-19,완료,5.0
ONB0078,EMP034,회사 소개 및 비전 공유,2023-02-02,완료,3.7
ONB0079,EMP034,조직문화 및 핵심가치 교육,2023-02-05,완료,3.5
ONB0080,EMP034,업무 시스템 사용법 교육,2023-02-08,완료,4.9
ONB0081,EMP034,부서별 업무 소개,2023-02-10,완료,4.1
ONB0082,EMP034,멘토 배정 및 OJT,2023-02-12,완료,3.8
ONB0083,EMP034,컴플라이언스 교육,2023-02-14,완료,4.7
ONB0084,EMP034,정보보안 교육,2023-02-17,완료,3.5
ONB0085,EMP037,회사 소개 및 비전 공유,2023-11-25,완료,4.4
ONB0086,EMP037,조직문화 및 핵심가치 교육,2023-11-27,완료,3.7
ONB0087,EMP037,업무 시스템 사용법 교육,2023-11-27,완료,3.9
ONB0088,EMP037,부서별 업무 소개,2023-12-01,완료,3.9
ONB0089,EMP037,멘토 배정 및 OJT,2023-12-03,완료,4.3
ONB0090,EMP037,컴플라이언스 교육,2023-12-04,완료,4.7
ONB0091,EMP037,정보보안 교육,2023-12-08,완료,4.5
ONB0092,EMP039,회사 소개 및 비전 공유,2022-09-28,완료,5.0
ONB0093,EMP039,조직문화 및 핵심가치 교육,2022-10-02,완료,4.1
ONB0094,EMP039,업무 시스템 사용법 교육,2022-10-02,완료,5.0
ONB0095,EMP039,부서별 업무 소개,2022-10-05,완료,4.6
ONB0096,EMP039,멘토 배정 및 OJT,2022-10-09,완료,4.5
ONB0097,EMP039,컴플라이언스 교육,2022-10-10,완료,4.8
ONB0098,EMP039,정보보안 교육,2022-10-11,완료,4.2
ONB0099,EMP046,회사 소개 및 비전 공유,2023-01-24,완료,4.3
ONB0100,EMP046,조직문화 및 핵심가치 교육,2023-01-25,완료,4.8
ONB0101,EMP046,업무 시스템 사용법 교육,2023-01-26,완료,3.8
ONB0102,EMP046,부서별 업무 소개,2023-01-30,완료,4.8
ONB0103,EMP046,멘토 배정 및 OJT,2023-02-01,완료,3.9
ONB0104,EMP046,컴플라이언스 교육,2023-02-01,완료,4.8
ONB0105,EMP046,정보보안 교육,2023-02-03,완료,3.8
ONB0106,EMP048,회사 소개 및 비전 공유,2024-04-23,완료,4.1
ONB0107,EMP048,조직문화 및 핵심가치 교육,2024-04-27,완료,4.8
ONB0108,EMP048,업무 시스템 사용법 교육,2024-04-28,완료,3.8
ONB0109,EMP048,부서별 업무 소개,2024-05-02,미완료,4.8
ONB0110,EMP048,멘토 배정 및 OJT,2024-05-04,완료,4.8
ONB0111,EMP048,컴플라이언스 교육,2024-05-04,완료,4.2
ONB0112,EMP048,정보보안 교육,2024-05-06,완료,3.6
ONB0113,EMP058,회사 소개 및 비전 공유,2022-06-13,완료,4.6
ONB0114,EMP058,조직문화 및 핵심가치 교육,2022-06-13,완료,3.7
ONB0115,EMP058,업무 시스템 사용법 교육,2022-06-14,완료,4.2
ONB0116,EMP058,부서별 업무 소개,2022-06-19,완료,4.9
ONB0117,EMP058,멘토 배정 및 OJT,2022-06-21,완료,4.3
ONB0118,EMP058,컴플라이언스 교육,2022-06-22,미완료,4.8
ONB0119,EMP058,정보보안 교육,2022-06-23,완료,3.5
ONB0120,EMP060,회사 소개 및 비전 공유,2023-06-02,완료,4.8
ONB0121,EMP060,조직문화 및 핵심가치 교육,2023-06-05,완료,4.1
ONB0122,EMP060,업무 시스템 사용법 교육,2023-06-07,완료,4.7
ONB0123,EMP060,부서별 업무 소개,2023-06-09,완료,4.2
ONB0124,EMP060,멘토 배정 및 OJT,2023-06-11,완료,4.5
ONB0125,EMP060,컴플라이언스 교육,2023-06-12,완료,4.9
ONB0126,EMP060,정보보안 교육,2023-06-15,완료,3.7
ONB0127,EMP062,회사 소개 및 비전 공유,2023-02-16,완료,3.8
ONB0128,EMP062,조직문화 및 핵심가치 교육,2023-02-16,완료,3.5
ONB0129,EMP062,업무 시스템 사용법 교육,2023-02-18,완료,4.6
ONB0130,EMP062,부서별 업무 소개,2023-02-19,완료,4.5
ONB0131,EMP062,멘토 배정 및 OJT,2023-02-21,완료,3.6
ONB0132,EMP062,컴플라이언스 교육,2023-02-23,완료,3.5
ONB0133,EMP062,정보보안 교육,2023-02-25,완료,4.1
ONB0134,EMP066,회사 소개 및 비전 공유,2023-03-09,완료,3.7
ONB0135,EMP066,조직문화 및 핵심가치 교육,2023-03-09,완료,4.5
ONB0136,EMP066,업무 시스템 사용법 교육,2023-03-13,완료,4.6
ONB0137,EMP066,부서별 업무 소개,2023-03-16,완료,3.7
ONB0138,EMP066,멘토 배정 및 OJT,2023-03-15,완료,4.7
ONB0139,EMP066,컴플라이언스 교육,2023-03-20,완료,3.8
ONB0140,EMP066,정보보안 교육,2023-03-21,완료,5.0
ONB0141,EMP069,회사 소개 및 비전 공유,2022-11-09,완료,3.9
ONB0142,EMP069,조직문화 및 핵심가치 교육,2022-11-09,완료,4.9
ONB0143,EMP069,업무 시스템 사용법 교육,2022-11-14,완료,3.5
ONB0144,EMP069,부서별 업무 소개,2022-11-13,완료,4.8
ONB0145,EMP069,멘토 배정 및 OJT,2022-11-18,완료,3.6
ONB0146,EMP069,컴플라이언스 교육,2022-11-17,완료,3.7
ONB0147,EMP069,정보보안 교육,2022-11-21,완료,4.2
ONB0148,EMP076,회사 소개 및 비전 공유,2022-10-29,완료,3.6
ONB0149,EMP076,조직문화 및 핵심가치 교육,2022-10-30,완료,4.8
ONB0150,EMP076,업무 시스템 사용법 교육,2022-11-02,완료,4.0
ONB0151,EMP076,부서별 업무 소개,2022-11-02,완료,4.6
ONB0152,EMP076,멘토 배정 및 OJT,2022-11-04,완료,3.7
ONB0153,EMP076,컴플라이언스 교육,2022-11-07,완료,4.8
ONB0154,EMP076,정보보안 교육,2022-11-10,완료,3.6
ONB0155,EMP077,회사 소개 및 비전 공유,2023-08-08,완료,4.1
ONB0156,EMP077,조직문화 및 핵심가치 교육,2023-08-11,완료,4.1
ONB0157,EMP077,업무 시스템 사용법 교육,2023-08-13,완료,4.5
ONB0158,EMP077,부서별 업무 소개,2023-08-13,완료,4.5
ONB0159,EMP077,멘토 배정 및 OJT,2023-08-14,미완료,4.8
ONB0160,EMP077,컴플라이언스 교육,2023-08-16,완료,4.4
ONB0161,EMP077,정보보안 교육,2023-08-21,완료,4.1
ONB0162,EMP083,회사 소개 및 비전 공유,2024-07-18,완료,4.8
ONB0163,EMP083,조직문화 및 핵심가치 교육,2024-07-19,완료,4.2
ONB0164,EMP083,업무 시스템 사용법 교육,2024-07-23,완료,3.6
ONB0165,EMP083,부서별 업무 소개,2024-07-24,완료,4.8
ONB0166,EMP083,멘토 배정 및 OJT,2024-07-25,미완료,4.5
ONB0167,EMP083,컴플라이언스 교육,2024-07-28,완료,4.5
ONB0168,EMP083,정보보안 교육,2024-07-28,완료,4.6
ONB0169,EMP086,회사 소개 및 비전 공유,2022-03-23,완료,4.5
ONB0170,EMP086,조직문화 및 핵심가치 교육,2022-03-25,완료,4.7
ONB0171,EMP086,업무 시스템 사용법 교육,2022-03-24,완료,4.9
ONB0172,EMP086,부서별 업무 소개,2022-03-29,완료,4.8
ONB0173,EMP086,멘토 배정 및 OJT,2022-03-28,완료,4.0
ONB0174,EMP086,컴플라이언스 교육,2022-04-01,미완료,3.6
ONB0175,EMP086,정보보안 교육,2022-04-02,완료,4.1
ONB0176,EMP090,회사 소개 및 비전 공유,2023-01-13,완료,4.2
ONB0177,EMP090,조직문화 및 핵심가치 교육,2023-01-17,완료,4.2
ONB0178,EMP090,업무 시스템 사용법 교육,2023-01-18,완료,4.2
ONB0179,EMP090,부서별 업무 소개,2023-01-18,완료,4.1
ONB0180,EMP090,멘토 배정 및 OJT,2023-01-20,완료,4.7
ONB0181,EMP090,컴플라이언스 교육,2023-01-24,완료,4.3
ONB0182,EMP090,정보보안 교육,2023-01-27,미완료,4.0
ONB0183,EMP100,회사 소개 및 비전 공유,2023-08-15,완료,4.8
ONB0184,EMP100,조직문화 및 핵심가치 교육,2023-08-19,완료,4.4
ONB0185,EMP100,업무 시스템 사용법 교육,2023-08-22,완료,4.0
ONB0186,EMP100,부서별 업무 소개,2023-08-24,완료,4.6
ONB0187,EMP100,멘토 배정 및 OJT,2023-08-24,완료,4.0
ONB0188,EMP100,컴플라이언스 교육,2023-08-27,완료,4.1
ONB0189,EMP100,정보보안 교육,2023-08-27,완료,3.7
ONB0190,EMP104,회사 소개 및 비전 공유,2023-04-04,완료,4.6
ONB0191,EMP104,조직문화 및 핵심가치 교육,2023-04-08,완료,4.4
ONB0192,EMP104,업무 시스템 사용법 교육,2023-04-08,완료,4.8
ONB0193,EMP104,부서별 업무 소개,2023-04-10,완료,4.7
ONB0194,EMP104,멘토 배정 및 OJT,2023-04-13,완료,4.1
ONB0195,EMP104,컴플라이언스 교육,2023-04-13,완료,4.2
ONB0196,EMP104,정보보안 교육,2023-04-16,미완료,3.5
ONB0197,EMP108,회사 소개 및 비전 공유,2022-05-10,완료,4.1
ONB0198,EMP108,조직문화 및 핵심가치 교육,2022-05-15,완료,4.7
ONB0199,EMP108,업무 시스템 사용법 교육,2022-05-15,완료,3.8
ONB0200,EMP108,부서별 업무 소개,2022-05-17,완료,4.5
ONB0201,EMP108,멘토 배정 및 OJT,2022-05-20,완료,4.1
ONB0202,EMP108,컴플라이언스 교육,2022-05-21,완료,4.9
ONB0203,EMP108,정보보안 교육,2022-05-24,완료,3.7
ONB0204,EMP109,회사 소개 및 비전 공유,2023-12-09,완료,4.8
ONB0205,EMP109,조직문화 및 핵심가치 교육,2023-12-10,완료,4.3
ONB0206,EMP109,업무 시스템 사용법 교육,2023-12-12,완료,4.9
ONB0207,EMP109,부서별 업무 소개,2023-12-13,완료,4.4
ONB0208,EMP109,멘토 배정 및 OJT,2023-12-16,완료,4.9
ONB0209,EMP109,컴플라이언스 교육,2023-12-17,미완료,4.5
ONB0210,EMP109,정보보안 교육,2023-12-19,완료,4.5
ONB0211,EMP110,회사 소개 및 비전 공유,2024-09-22,완료,4.6
ONB0212,EMP110,조직문화 및 핵심가치 교육,2024-09-25,완료,4.9
ONB0213,EMP110,업무 시스템 사용법 교육,2024-09-27,완료,4.8
ONB0214,EMP110,부서별 업무 소개,2024-09-28,완료,4.1
ONB0215,EMP110,멘토 배정 및 OJT,2024-09-28,완료,3.5
ONB0216,EMP110,컴플라이언스 교육,2024-10-01,완료,3.6
ONB0217,EMP110,정보보안 교육,2024-10-04,완료,3.7
ONB0218,EMP120,회사 소개 및 비전 공유,2023-02-08,완료,3.7
ONB0219,EMP120,조직문화 및 핵심가치 교육,2023-02-08,완료,3.9
ONB0220,EMP120,업무 시스템 사용법 교육,2023-02-10,완료,4.2
ONB0221,EMP120,부서별 업무 소개,2023-02-13,완료,4.3
ONB0222,EMP120,멘토 배정 및 OJT,2023-02-15,완료,4.7
ONB0223,EMP120,컴플라이언스 교육,2023-02-18,완료,3.6
ONB0224,EMP120,정보보안 교육,2023-02-21,완료,4.9
ONB0225,EMP121,회사 소개 및 비전 공유,2022-05-04,미완료,3.6
ONB0226,EMP121,조직문화 및 핵심가치 교육,2022-05-06,완료,4.8
ONB0227,EMP121,업무 시스템 사용법 교육,2022-05-09,완료,4.9
ONB0228,EMP121,부서별 업무 소개,2022-05-10,완료,4.3
ONB0229,EMP121,멘토 배정 및 OJT,2022-05-11,완료,4.9
ONB0230,EMP121,컴플라이언스 교육,2022-05-14,완료,5.0
ONB0231,EMP121,정보보안 교육,2022-05-14,완료,3.8
ONB0232,EMP123,회사 소개 및 비전 공유,2023-04-21,완료,4.1
ONB0233,EMP123,조직문화 및 핵심가치 교육,2023-04-25,완료,4.4
ONB0234,EMP123,업무 시스템 사용법 교육,2023-04-27,완료,4.2
ONB0235,EMP123,부서별 업무 소개,2023-04-28,완료,4.9
ONB0236,EMP123,멘토 배정 및 OJT,2023-04-29,완료,4.4
ONB0237,EMP123,컴플라이언스 교육,2023-05-03,완료,4.4
ONB0238,EMP123,정보보안 교육,2023-05-05,완료,4.6
ONB0239,EMP125,회사 소개 및 비전 공유,2022-12-11,미완료,4.3
ONB0240,EMP125,조직문화 및 핵심가치 교육,2022-12-13,완료,4.3
ONB0241,EMP125,업무 시스템 사용법 교육,2022-12-14,완료,4.8
ONB0242,EMP125,부서별 업무 소개,2022-12-18,완료,3.9
ONB0243,EMP125,멘토 배정 및 OJT,2022-12-21,미완료,4.7
ONB0244,EMP125,컴플라이언스 교육,2022-12-20,완료,4.0
ONB0245,EMP125,정보보안 교육,2022-12-23,완료,4.4
ONB0246,EMP126,회사 소개 및 비전 공유,2022-08-04,미완료,4.5
ONB0247,EMP126,조직문화 및 핵심가치 교육,2022-08-07,완료,4.7
ONB0248,EMP126,업무 시스템 사용법 교육,2022-08-07,완료,4.3
ONB0249,EMP126,부서별 업무 소개,2022-08-11,완료,4.3
ONB0250,EMP126,멘토 배정 및 OJT,2022-08-13,완료,4.3
ONB0251,EMP126,컴플라이언스 교육,2022-08-16,완료,4.8
ONB0252,EMP126,정보보안 교육,2022-08-16,완료,3.6
ONB0253,EMP127,회사 소개 및 비전 공유,2024-05-01,완료,4.9
ONB0254,EMP127,조직문화 및 핵심가치 교육,2024-05-03,완료,3.8
ONB0255,EMP127,업무 시스템 사용법 교육,2024-05-06,완료,4.1
ONB0256,EMP127,부서별 업무 소개,2024-05-07,완료,4.7
ONB0257,EMP127,멘토 배정 및 OJT,2024-05-12,완료,4.9
ONB0258,EMP127,컴플라이언스 교육,2024-05-12,완료,4.6
ONB0259,EMP127,정보보안 교육,2024-05-13,완료,3.6
ONB0260,EMP131,회사 소개 및 비전 공유,2022-05-24,완료,4.4
ONB0261,EMP131,조직문화 및 핵심가치 교육,2022-05-25,완료,4.1
ONB0262,EMP131,업무 시스템 사용법 교육,2022-05-29,완료,4.1
ONB0263,EMP131,부서별 업무 소개,2022-05-28,완료,3.7
ONB0264,EMP131,멘토 배정 및 OJT,2022-05-30,완료,4.4
ONB0265,EMP131,컴플라이언스 교육,2022-06-01,완료,3.6
ONB0266,EMP131,정보보안 교육,2022-06-03,완료,4.5
ONB0267,EMP134,회사 소개 및 비전 공유,2024-08-21,완료,4.9
ONB0268,EMP134,조직문화 및 핵심가치 교육,2024-08-26,완료,4.5
ONB0269,EMP134,업무 시스템 사용법 교육,2024-08-28,완료,3.8
ONB0270,EMP134,부서별 업무 소개,2024-08-30,완료,4.8
ONB0271,EMP134,멘토 배정 및 OJT,2024-08-31,미완료,3.7
ONB0272,EMP134,컴플라이언스 교육,2024-09-02,미완료,3.5
ONB0273,EMP134,정보보안 교육,2024-09-03,완료,3.5
ONB0274,EMP135,회사 소개 및 비전 공유,2023-03-13,완료,4.9
ONB0275,EMP135,조직문화 및 핵심가치 교육,2023-03-14,완료,4.6
ONB0276,EMP135,업무 시스템 사용법 교육,2023-03-16,완료,4.9
ONB0277,EMP135,부서별 업무 소개,2023-03-17,완료,3.8
ONB0278,EMP135,멘토 배정 및 OJT,2023-03-20,완료,3.8
ONB0279,EMP135,컴플라이언스 교육,2023-03-20,완료,4.9
ONB0280,EMP135,정보보안 교육,2023-03-25,완료,3.6
ONB0281,EMP136,회사 소개 및 비전 공유,2024-04-23,완료,3.8
ONB0282,EMP136,조직문화 및 핵심가치 교육,2024-04-28,미완료,4.0
ONB0283,EMP136,업무 시스템 사용법 교육,2024-04-28,완료,4.4
ONB0284,EMP136,부서별 업무 소개,2024-04-30,완료,4.2
ONB0285,EMP136,멘토 배정 및 OJT,2024-05-03,완료,3.7
ONB0286,EMP136,컴플라이언스 교육,2024-05-05,완료,4.9
ONB0287,EMP136,정보보안 교육,2024-05-06,완료,3.9
ONB0288,EMP139,회사 소개 및 비전 공유,2022-08-09,완료,4.5
ONB0289,EMP139,조직문화 및 핵심가치 교육,2022-08-12,완료,3.7
ONB0290,EMP139,업무 시스템 사용법 교육,2022-08-14,완료,4.2
ONB0291,EMP139,부서별 업무 소개,2022-08-16,완료,4.2
ONB0292,EMP139,멘토 배정 및 OJT,2022-08-16,완료,4.4
ONB0293,EMP139,컴플라이언스 교육,2022-08-20,완료,3.7
ONB0294,EMP139,정보보안 교육,2022-08-21,완료,4.8
ONB0295,EMP140,회사 소개 및 비전 공유,2024-09-24,완료,4.8
ONB0296,EMP140,조직문화 및 핵심가치 교육,2024-09-26,완료,4.4
ONB0297,EMP140,업무 시스템 사용법 교육,2024-09-29,완료,4.3
ONB0298,EMP140,부서별 업무 소개,2024-10-03,완료,3.7
ONB0299,EMP140,멘토 배정 및 OJT,2024-10-05,완료,4.7
ONB0300,EMP140,컴플라이언스 교육,2024-10-06,완료,4.3
ONB0301,EMP140,정보보안 교육,2024-10-06,완료,4.3
ONB0302,EMP143,회사 소개 및 비전 공유,2022-06-12,완료,4.7
ONB0303,EMP143,조직문화 및 핵심가치 교육,2022-06-14,완료,3.7
ONB0304,EMP143,업무 시스템 사용법 교육,2022-06-16,완료,4.9
ONB0305,EMP143,부서별 업무 소개,2022-06-18,완료,4.2
ONB0306,EMP143,멘토 배정 및 OJT,2022-06-21,완료,4.6
ONB0307,EMP143,컴플라이언스 교육,2022-06-22,완료,4.1
ONB0308,EMP143,정보보안 교육,2022-06-23,완료,4.3
ONB0309,EMP147,회사 소개 및 비전 공유,2022-02-19,완료,4.9
ONB0310,EMP147,조직문화 및 핵심가치 교육,2022-02-19,완료,4.5
ONB0311,EMP147,업무 시스템 사용법 교육,2022-02-21,완료,4.3
ONB0312,EMP147,부서별 업무 소개,2022-02-25,완료,3.9
ONB0313,EMP147,멘토 배정 및 OJT,2022-02-26,완료,4.1
ONB0314,EMP147,컴플라이언스 교육,2022-02-27,완료,4.1
ONB0315,EMP147,정보보안 교육,2022-03-02,완료,4.0
ONB0316,EMP150,회사 소개 및 비전 공유,2022-09-04,완료,4.2
ONB0317,EMP150,조직문화 및 핵심가치 교육,2022-09-04,완료,3.7
ONB0318,EMP150,업무 시스템 사용법 교육,2022-09-07,완료,4.3
ONB0319,EMP150,부서별 업무 소개,2022-09-10,완료,3.8
ONB0320,EMP150,멘토 배정 및 OJT,2022-09-12,완료,4.7
ONB0321,EMP150,컴플라이언스 교육,2022-09-13,완료,4.0
ONB0322,EMP150,정보보안 교육,2022-09-14,완료,4.2
ONB0323,EMP155,회사 소개 및 비전 공유,2024-03-09,완료,4.5
ONB0324,EMP155,조직문화 및 핵심가치 교육,2024-03-13,완료,3.6
ONB0325,EMP155,업무 시스템 사용법 교육,2024-03-13,완료,4.3
ONB0326,EMP155,부서별 업무 소개,2024-03-15,완료,3.9
ONB0327,EMP155,멘토 배정 및 OJT,2024-03-17,완료,4.1
ONB0328,EMP155,컴플라이언스 교육,2024-03-18,완료,4.6
ONB0329,EMP155,정보보안 교육,2024-03-22,완료,3.8
ONB0330,EMP177,회사 소개 및 비전 공유,2024-01-05,완료,3.8
ONB0331,EMP177,조직문화 및 핵심가치 교육,2024-01-07,완료,4.7
ONB0332,EMP177,업무 시스템 사용법 교육,2024-01-07,완료,4.3
ONB0333,EMP177,부서별 업무 소개,2024-01-09,완료,4.0
ONB0334,EMP177,멘토 배정 및 OJT,2024-01-13,완료,3.6
ONB0335,EMP177,컴플라이언스 교육,2024-01-15,완료,3.7
ONB0336,EMP177,정보보안 교육,2024-01-15,완료,4.9
ONB0337,EMP178,회사 소개 및 비전 공유,2024-04-06,완료,4.4
ONB0338,EMP178,조직문화 및 핵심가치 교육,2024-04-06,완료,4.4
ONB0339,EMP178,업무 시스템 사용법 교육,2024-04-07,완료,4.3
ONB0340,EMP178,부서별 업무 소개,2024-04-09,완료,4.5
ONB0341,EMP178,멘토 배정 및 OJT,2024-04-11,완료,4.7
ONB0342,EMP178,컴플라이언스 교육,2024-04-16,완료,4.1
ONB0343,EMP178,정보보안 교육,2024-04-15,완료,4.1
ONB0344,EMP186,회사 소개 및 비전 공유,2022-02-06,완료,4.1
ONB0345,EMP186,조직문화 및 핵심가치 교육,2022-02-05,완료,3.9
ONB0346,EMP186,업무 시스템 사용법 교육,2022-02-08,완료,3.6
ONB0347,EMP186,부서별 업무 소개,2022-02-12,완료,3.5
ONB0348,EMP186,멘토 배정 및 OJT,2022-02-11,완료,3.7
ONB0349,EMP186,컴플라이언스 교육,2022-02-13,완료,3.8
ONB0350,EMP186,정보보안 교육,2022-02-17,완료,3.7
ONB0351,EMP187,회사 소개 및 비전 공유,2024-11-22,완료,3.9
ONB0352,EMP187,조직문화 및 핵심가치 교육,2024-11-24,완료,4.4
ONB0353,EMP187,업무 시스템 사용법 교육,2024-11-26,완료,4.1
ONB0354,EMP187,부서별 업무 소개,2024-11-28,완료,4.3
ONB0355,EMP187,멘토 배정 및 OJT,2024-11-30,완료,4.0
ONB0356,EMP187,컴플라이언스 교육,2024-12-01,완료,4.1
ONB0357,EMP187,정보보안 교육,2024-12-02,완료,4.5
ONB0358,EMP188,회사 소개 및 비전 공유,2024-09-11,완료,4.5
ONB0359,EMP188,조직문화 및 핵심가치 교육,2024-09-13,완료,4.3
ONB0360,EMP188,업무 시스템 사용법 교육,2024-09-16,완료,4.4
ONB0361,EMP188,부서별 업무 소개,2024-09-16,완료,4.9
ONB0362,EMP188,멘토 배정 및 OJT,2024-09-18,완료,4.7
ONB0363,EMP188,컴플라이언스 교육,2024-09-23,완료,4.2
ONB0364,EMP188,정보보안 교육,2024-09-22,완료,4.1
ONB0365,EMP190,회사 소개 및 비전 공유,2022-07-14,완료,4.9
ONB0366,EMP190,조직문화 및 핵심가치 교육,2022-07-19,완료,4.3
ONB0367,EMP190,업무 시스템 사용법 교육,2022-07-18,완료,4.7
ONB0368,EMP190,부서별 업무 소개,2022-07-23,완료,3.8
ONB0369,EMP190,멘토 배정 및 OJT,2022-07-24,완료,4.7
ONB0370,EMP190,컴플라이언스 교육,2022-07-25,완료,4.5
ONB0371,EMP190,정보보안 교육,2022-07-28,완료,3.5
ONB0372,EMP196,회사 소개 및 비전 공유,2022-04-29,완료,3.9
